,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Acapulco de Juárez,5,MX,1587415287,66,-99.89,16.86,84.2,9.17
1,São João da Barra,1,BR,1587415578,65,-41.05,-21.63,77,11.41
2,Pisco,0,PE,1587415811,64,-76.22,-13.7,75.2,21.92
3,Beringovskiy,85,RU,1587415811,94,179.32,63.05,12.72,13.98
4,Clyde River,40,CA,1587415811,77,-68.59,70.47,3.2,8.05
5,Flagstaff,1,US,1587415604,30,-111.65,35.2,66,16.11
6,New Norfolk,23,AU,1587415812,83,147.06,-42.78,48,4.32
7,Loikaw,0,MM,1587415878,34,97.21,19.67,67.8,1.74
8,Ancud,52,CL,1587415878,66,-73.82,-41.87,55.4,5.82
9,Pailón,48,BO,1587415579,63,-64.87,-13.07,86.54,2.21
10,Hasaki,75,JP,1587415813,93,140.83,35.73,52,2.24
11,Turukhansk,100,RU,1587415814,97,87.98,65.82,33.93,6.64
12,Barrow,90,US,1587415762,91,-156.79,71.29,1.4,9.17
13,Cape Town,75,ZA,1587415739,93,18.42,-33.93,61,2.24
14,Saldanha,100,ZA,1587415880,77,17.94,-33.01,62.6,3.36
15,taolanaro,,,,,,,,
16,Butaritari,100,KI,1587415881,79,172.79,3.07,82.44,13.15
17,Saint Paul Harbor,90,US,1587415881,93,-152.41,57.79,44.6,5.82
18,Bengkulu,59,ID,1587415881,80,102.27,-3.8,78.21,4.88
19,marcona,,,,,,,,
20,Kapaa,1,US,1587415882,69,-159.32,22.08,78.8,11.41
21,illoqqortoormiut,,,,,,,,
22,Port Elizabeth,66,ZA,1587415681,77,25.57,-33.92,66.2,16.11
23,Dikson,100,RU,1587415883,97,80.55,73.51,31.08,22.64
24,Codrington,87,AU,1587415884,81,141.97,-38.27,52.88,14.03
25,Atuona,3,PF,1587415884,71,-139.03,-9.8,82.76,12.86
26,Kupang,3,ID,1587415884,78,123.58,-10.17,80.94,12.59
27,eldikan,,,,,,,,
28,Bluff,78,NZ,1587415885,96,168.33,-46.6,42.01,1.01
29,Port Hardy,75,CA,1587415803,87,-127.42,50.7,50,5.82
30,Albany,75,US,1587415809,23,-73.97,42.6,53.01,6.93
31,Arraial do Cabo,1,BR,1587415885,69,-42.03,-22.97,77,9.17
32,Busselton,18,AU,1587415886,66,115.33,-33.65,60.01,10.49
33,Jinka,48,ET,1587415887,65,36.65,5.65,62.78,3.53
34,Coquimbo,75,CL,1587415887,87,-71.34,-29.95,60.8,8.05
35,Iskateley,99,RU,1587415887,97,53.15,67.68,27.82,15.73
36,Glomfjord,90,NO,1587415887,100,13.97,66.82,41,12.75
37,Sola,86,VU,1587415888,74,167.55,-13.88,81.77,2.15
38,Bandar-e Lengeh,100,IR,1587415888,66,54.88,26.56,79.84,12.53
39,Cap Malheureux,23,MU,1587415888,89,57.61,-19.98,73,4
40,Xam Nua,6,LA,1587415888,54,104.04,20.42,68.72,2.35
41,Kaitangata,76,NZ,1587415888,84,169.85,-46.28,44.01,1.99
42,Hermanus,100,ZA,1587415889,99,19.23,-34.42,57,8.52
43,Fort Saint James,64,CA,1587415889,49,-124.25,54.43,57.76,4.63
44,Tura,100,IN,1587415889,78,90.22,25.52,69.78,3.53
45,Ilulissat,42,GL,1587415889,68,-51.1,69.22,30.2,4.7
46,Blankenberge,0,BE,1587415890,44,3.13,51.31,57.99,14.99
47,Nhulunbuy,40,AU,1587415890,94,136.77,-12.23,77,7.4
48,Zhangye,100,CN,1587415736,26,100.45,38.93,46,1.66
49,Turaif,0,SA,1587415891,35,38.66,31.67,69.8,9.17
50,Jamestown,1,US,1587415891,39,-79.24,42.1,48.2,6.93
51,Payakumbuh,67,ID,1587415892,78,100.63,-0.22,70.16,0.34
52,Port Alfred,36,ZA,1587415892,89,26.89,-33.59,64.99,3
53,Vaini,75,TO,1587415892,83,-175.2,-21.2,78.8,8.05
54,Srednekolymsk,99,RU,1587415892,93,153.68,67.45,11.77,11.03
55,Kalach-na-Donu,18,RU,1587415893,93,43.53,48.69,37.4,8.95
56,Kavaratti,99,IN,1587415894,69,72.64,10.57,85.32,5.12
57,Barra de Tecoanapa,16,MX,1587415896,55,-98.75,16.52,87.37,11.95
58,Yellowknife,75,CA,1587415897,53,-114.35,62.46,21.2,11.41
59,Lüderitz,0,NA,1587415898,72,15.16,-26.65,64.4,10.29
60,Chokurdakh,100,RU,1587415898,98,147.92,70.63,19.6,6.44
61,Ola,0,RU,1587415898,84,151.28,59.58,11.73,6.4
62,Thompson,75,CA,1587415899,62,-97.86,55.74,21.2,13.87
63,Chui,0,UY,1587415899,68,-53.46,-33.7,70.56,0.89
64,Kruisfontein,98,ZA,1587415899,74,24.73,-34,62.53,15.01
65,Tasiilaq,100,GL,1587415899,87,-37.64,65.61,32,6.93
66,Katsuura,75,JP,1587415900,93,140.3,35.13,53.6,2.24
67,Puerto Ayora,75,EC,1587415901,66,-90.35,-0.74,86,19.46
68,Ṭikāpur,74,NP,1587415901,78,81.13,28.5,82,4
69,Pangai,75,TO,1587415901,83,-174.35,-19.8,80.6,18.34
70,belushya guba,,,,,,,,
71,Disna,78,BY,1587415902,83,28.2,55.57,36.84,5.91
72,Nikolskoye,94,RU,1587415902,80,30.79,59.7,42.01,4.47
73,Mingguang,80,CN,1587415902,89,117.96,32.78,51.06,4.43
74,São Filipe,2,CV,1587415902,76,-24.5,14.9,72.66,14.7
75,Punta Arenas,75,CL,1587415903,66,-70.92,-53.15,50,31.09
76,scottsburgh,,,,,,,,
77,Aklavik,90,CA,1587415903,72,-135.01,68.22,12.2,5.82
78,Kerema,56,PG,1587415903,87,145.78,-7.96,77.95,4.23
79,Kavieng,73,PG,1587415903,71,150.8,-2.57,84.24,0.54
80,Souillac,52,MU,1587415904,89,57.52,-20.52,73,4
81,Ushuaia,75,AR,1587415904,81,-68.3,-54.8,44.6,33.33
82,Brae,0,GB,1587415904,86,-1.35,60.4,41,10.29
83,Bagdarin,0,RU,1587415904,76,113.6,54.43,11.89,5.82
84,grand river south east,,,,,,,,
85,Bredasdorp,100,ZA,1587415905,63,20.04,-34.53,62.6,6.93
86,Tsimmerbude,0,RU,1587415905,86,20.13,54.67,41,4.47
87,Palmer,75,US,1587415908,26,-72.33,42.16,55.4,6.93
88,Los Llanos de Aridane,40,ES,1587415908,77,-17.92,28.66,68,13.87
89,Rikitea,29,PF,1587415908,74,-134.97,-23.12,76.05,4.76
90,Nyurba,95,RU,1587415909,96,118.33,63.28,22.5,3.36
91,Khovd,24,MN,1587415909,34,91.64,48.01,38.68,0.74
92,Ngunguru,100,NZ,1587415909,99,174.5,-35.62,60.01,3
93,Hobart,75,AU,1587415824,71,147.33,-42.88,50,8.05
94,Zabul Province,99,AF,1587415910,32,67.25,32.25,54.19,5.59
95,Mataura,89,NZ,1587415910,96,168.86,-46.19,42.01,1.01
96,Rockport,1,US,1587415911,66,-97.05,28.02,91.4,10.29
97,Avarua,4,CK,1587415912,74,-159.78,-21.21,82.4,16.11
98,Chistogorskiy,0,RU,1587415912,61,87.38,53.98,45.88,1.74
99,Khatanga,100,RU,1587415912,95,102.5,71.97,22.66,5.26
100,Kununurra,46,AU,1587415912,94,128.73,-15.77,73.4,3.36
101,amderma,,,,,,,,
102,Korla,88,CN,1587415913,35,86.15,41.76,60.01,7
103,Salalah,20,OM,1587415913,74,54.09,17.02,82.4,6.93
104,Yenagoa,6,NG,1587415913,89,6.26,4.92,78.15,4.56
105,Carora,100,VE,1587415913,42,-70.08,10.18,87.75,5.97
106,Hithadhoo,62,MV,1587415914,69,73.08,-0.6,84.67,8.08
107,Lebu,43,CL,1587415914,63,-73.65,-37.62,58.78,17.11
108,palabuhanratu,,,,,,,,
109,Fortuna,90,US,1587415915,87,-124.16,40.6,55,8.05
110,Włodawa,70,PL,1587415916,42,23.55,51.55,44.6,9.17
111,Sechura,42,PE,1587415916,63,-80.82,-5.56,78.1,14.88
112,Morondava,0,MG,1587415916,72,44.28,-20.28,78.3,4.21
113,San Francisco del Mar Viejo,36,MX,1587415916,59,-94.65,16.23,87.22,10.58
114,Eyl,29,SO,1587415916,78,49.82,7.98,83.79,13.44
115,barentsburg,,,,,,,,
116,Carnarvon,40,AU,1587415917,60,113.63,-24.87,68,13.87
117,Loknya,9,RU,1587415918,88,30.15,56.83,33.85,4.03
118,Hilo,5,US,1587415896,81,-155.09,19.73,77,8.99
119,Aksarka,82,RU,1587415919,98,67.8,66.56,31.87,10.09
120,nizhneyansk,,,,,,,,
121,Oistins,75,BB,1587415644,74,-59.53,13.07,78.8,12.75
122,Narsaq,25,GL,1587415919,40,-46.05,60.92,35.6,4.7
123,Urengoy,79,RU,1587415920,96,78.37,65.97,33.62,11.54
124,Salinas,90,US,1587415623,67,-121.66,36.68,60.8,9.17
125,Shirgaon,0,IN,1587415920,60,72.7,19.7,82.17,8.46
126,Saskylakh,70,RU,1587415921,98,114.08,71.92,24.67,11.45
127,Lodja,30,CD,1587415922,80,23.43,-3.48,70.45,1.05
128,Mar del Plata,100,AR,1587415922,56,-57.56,-38,69.8,8.05
129,Plettenberg Bay,91,ZA,1587415922,77,23.37,-34.05,63.03,8.46
130,George Town,20,MY,1587415922,100,100.34,5.41,80.6,4.85
131,Praia,20,CV,1587415923,69,-23.51,14.92,73.4,18.34
132,Puerto Escondido,20,MX,1587415773,70,-97.07,15.85,84.2,9.17
133,Honiara,40,SB,1587415923,100,159.95,-9.43,75.2,3.36
134,Castro,2,BR,1587415923,54,-50.01,-24.79,61.68,2.13
135,Tiznit Province,34,MA,1587415925,62,-9.5,29.58,55.54,8.34
136,‘Ewa Beach,75,US,1587415925,65,-158.01,21.32,82.4,6.93
137,Salisbury,48,GB,1587415893,46,-1.8,51.07,55.4,17.22
138,‘Āhuimanu,75,US,1587415925,58,-157.84,21.44,82.4,8.05
139,Pemba,20,MZ,1587415926,78,40.52,-12.97,80.6,11.41
140,Dubbo,40,AU,1587415926,93,148.62,-32.25,51.8,8.05
141,Nome,90,US,1587415926,100,-165.41,64.5,30.99,6.93
142,Yulara,75,AU,1587415926,49,130.99,-25.24,73.4,8.05
143,Bafatá,1,GW,1587415927,49,-14.75,12.17,80.65,7.61
144,piryion,,,,,,,,
145,tsihombe,,,,,,,,
146,Sinop Province,100,TR,1587415928,79,34.87,41.77,46.11,4.09
147,Faanui,91,PF,1587415929,77,-151.75,-16.48,81.9,19.55
148,Bandarbeyla,99,SO,1587415929,78,50.81,9.49,82.35,12.41
149,Elizabeth City,90,US,1587415929,87,-76.25,36.29,57,10.29
150,Palana,92,RU,1587415929,93,159.97,59.12,10.47,3.67
151,Ponta do Sol,20,PT,1587415930,55,-17.1,32.67,62.6,9.17
152,Bethel,1,US,1587415930,34,-73.41,41.37,55.99,6.93
153,Río Gallegos,40,AR,1587415922,66,-69.22,-51.62,53.6,38.03
154,Verkhnyaya Balkariya,90,RU,1587415930,66,43.46,43.13,50,12.64
155,Saint-Ambroise,20,CA,1587415930,33,-71.33,48.55,32,6.93
156,ye,,,,,,,,
157,Boa Vista,75,BR,1587415924,88,-60.67,2.82,78.8,10.29
158,Ribeira Grande,40,PT,1587415931,77,-28.7,38.52,60.8,18.34
159,Pemangkat,99,ID,1587415805,86,108.97,1.17,78.51,4.16
160,Vanderhoof,41,CA,1587415935,39,-124.02,54.02,58.3,8.99
161,Amudat,100,UG,1587415935,59,34.95,1.95,68.56,3.83
162,Bunia,93,CD,1587415935,62,30.25,1.57,63.01,1.34
163,Lavrentiya,100,RU,1587415935,91,-171,65.58,17.89,6.67
164,Iqaluit,40,CA,1587415936,65,-68.51,63.75,3.2,19.46
165,Billings Metropolitan Area,40,US,1587415911,23,-108.5,45.78,66,9.17
166,Kūhdasht,6,IR,1587415936,40,47.61,33.53,56.84,0.85
167,Hanzhong,100,CN,1587415936,63,107.03,33.07,53.15,1.1
168,Ternate,69,ID,1587415937,76,127.4,0.8,80.49,1.25
169,saleaula,,,,,,,,
170,Portland,40,US,1587415909,51,-122.68,45.52,69.01,4.7
171,Port Lincoln,27,AU,1587415937,76,135.87,-34.73,59.32,15.88
172,Ardakān,97,IR,1587415938,35,54.02,32.31,69.8,4.7
173,Kuching,40,MY,1587415938,94,110.33,1.55,78.8,0.96
174,Masuda,75,JP,1587415938,62,131.85,34.67,59,8.05
175,East London,90,ZA,1587415938,71,27.91,-33.02,72.68,13.69
176,Plastun,100,RU,1587415939,89,136.29,44.76,37.78,5.77
177,Maceió,20,BR,1587415935,69,-35.74,-9.67,82.4,10.29
178,Saint-Philippe,66,RE,1587415939,73,55.77,-21.36,73.4,6.93
179,Jombang,68,ID,1587415939,88,112.23,-7.55,76.05,1.81
180,Cabedelo,40,BR,1587415939,83,-34.83,-6.98,80.6,8.05
181,Turochak,0,RU,1587415940,61,87.12,52.26,44.85,1.97
182,Tomarovka,0,RU,1587415940,80,36.23,50.68,35.6,11.18
183,Torbay,20,CA,1587415940,78,-52.73,47.67,42.01,35.57
184,Tuatapere,98,NZ,1587415940,96,167.68,-46.13,42.01,1.01
185,Esim,8,GH,1587415941,79,-2.24,4.87,82.13,9.86
186,Vredendal,44,ZA,1587415941,86,18.5,-31.67,61.77,6.42
187,Amoy,90,CN,1587415941,83,118.08,24.48,69.8,4.47
188,Cherskiy,100,RU,1587415941,95,161.3,68.75,9.84,7.63
189,Belmonte,40,BR,1587415942,78,-38.88,-15.86,77,6.93
190,Megion,100,RU,1587415942,49,76.11,61.03,46.4,11.18
191,Teterow,0,DE,1587415942,69,12.57,53.78,46,11.41
192,Abhā,70,SA,1587415942,62,42.51,18.22,60.8,6.93
193,fevralsk,,,,,,,,
194,Camapuã,22,BR,1587415943,68,-54.04,-19.53,77.95,4.88
195,Micheweni,100,TZ,1587415943,77,39.83,-4.97,82.76,15.19
196,La Romana,0,DO,1587415943,62,-68.97,18.43,84.34,11.16
197,vedaranniyam,,,,,,,,
198,Trincomalee,51,LK,1587415944,81,81.23,8.57,81.61,6.8
199,longlac,,,,,,,,
200,Saint-Leu,39,RE,1587415944,73,55.28,-21.15,73.4,6.93
201,Shagonar,100,RU,1587415944,42,92.8,51.53,45.72,1.16
202,Guozhen,99,CN,1587415945,37,107.36,34.37,51.06,1.5
203,Emerald,0,AU,1587415946,48,148.17,-23.53,62.6,6.93
204,Mae Sai,0,TH,1587415946,94,99.88,20.43,73,2.24
205,Chapais,1,CA,1587415947,35,-74.85,49.78,23,9.17
206,Nishihara,75,JP,1587415947,88,127.76,26.18,68,4.7
207,Caniço,20,PT,1587415947,55,-16.85,32.63,62.6,9.17
208,Maxixe,2,MZ,1587415952,85,35.35,-23.86,73.22,7.25
209,attawapiskat,,,,,,,,
210,Garoua,96,CM,1587415953,41,13.4,9.3,91.4,4.7
211,Planadas,40,CO,1587415953,34,-75.65,3.2,95,8.05
212,mys shmidta,,,,,,,,
213,Krutinka,100,RU,1587415953,82,71.51,56.01,48.42,7.34
214,Sept-Îles,75,CA,1587415954,35,-66.38,50.2,39.2,13.87
215,Barinas,62,VE,1587415955,48,-70.21,8.62,87.94,4.34
216,Naze,90,JP,1587415955,72,129.48,28.37,66.2,9.17
217,Pevek,99,RU,1587415956,93,170.31,69.7,5.18,5.91
218,Upernavik,99,GL,1587415956,90,-56.15,72.79,30.45,7.36
219,Tautira,47,PF,1587415956,62,-149.15,-17.73,87.8,6.93
220,Ondjiva,61,AO,1587415956,38,15.73,-17.07,68.86,6.35
221,bolungarvik,,,,,,,,
222,Alice Springs,85,AU,1587415942,46,133.88,-23.7,71.6,10.29
223,Adwa,2,ET,1587415957,13,38.9,14.16,66.63,7.29
224,Ponta Delgada,20,PT,1587415957,67,-25.67,37.73,59,4.7
225,Chumikan,100,RU,1587415957,94,135.31,54.72,20.79,11.16
226,Loíza,40,PR,1587415957,66,-65.88,18.43,87.8,16.11
227,Yangi Marg`ilon,1,UZ,1587415958,48,71.72,40.43,60.8,6.93
228,yakshur-bodya,,,,,,,,
229,Fukuechō,100,JP,1587415958,52,128.84,32.69,57.58,21.5
230,Darhan,0,MN,1587415960,64,105.92,49.49,26.42,3.85
231,Hong Kong,40,HK,1587415863,83,114.16,22.29,78.01,8.05
232,Hvide Sande,0,DK,1587415962,55,8.13,56,50,10.2
233,Qaanaaq,52,GL,1587415963,85,-69.36,77.48,10.53,6.64
234,Dhaka,75,BD,1587415671,78,90.41,23.71,78.8,5.82
235,Alofi,3,NU,1587415963,74,-169.92,-19.06,80.6,11.41
236,West Bay,20,KY,1587415963,70,-81.42,19.37,87.8,10.29
237,Zhicheng,100,CN,1587415964,84,111.5,30.3,56.28,2.68
238,Rabo de Peixe,20,PT,1587415964,67,-25.58,37.8,59,4.7
239,Te Anau,93,NZ,1587415964,72,167.72,-45.42,48.15,2.55
240,Fuengirola,75,ES,1587415964,76,-4.62,36.54,57.2,20.8
241,Abu Dhabi,97,AE,1587415742,45,54.37,24.47,84.2,5.82
242,Kattivākkam,20,IN,1587415965,79,80.32,13.22,84.99,4.7
243,Hereford,0,GB,1587415965,62,-2.71,52.06,50,5.99
244,Ilula,75,TZ,1587415965,77,36.04,-7.68,66.2,9.17
245,Muros,89,ES,1587415965,93,-9.06,42.78,55,1.99
246,Nelson Bay,92,AU,1587415966,71,152.15,-32.72,57.2,8.05
247,Les Cayes,11,HT,1587415966,68,-73.75,18.2,82.94,9.22
248,Guarapari,75,BR,1587415966,69,-40.5,-20.67,77,11.41
249,ho,,,,,,,,
250,Fort Frances,90,CA,1587415968,32,-93.4,48.6,39.2,21.92
251,tumannyy,,,,,,,,
252,Ulladulla,40,AU,1587415968,81,150.47,-35.35,53.6,5.82
253,Airai,71,TL,1587415969,71,125.41,-8.93,60.89,3
254,Vila do Maio,20,CV,1587415969,69,-23.22,15.13,73.4,18.34
255,Markova,56,UA,1587415969,66,24.41,48.68,35.49,1.12
256,Pathein,1,MM,1587415969,90,94.73,16.78,77.16,7.49
257,Kahului,20,US,1587415904,51,-156.47,20.89,80.6,6.93
258,Pitkyaranta,81,RU,1587415970,89,31.48,61.57,38.46,6.26
259,Wahiawā,75,US,1587415970,65,-158.02,21.5,82.4,6.93
260,Quang Ngai,94,VN,1587415971,87,108.8,15.12,76.23,9.93
261,Savinskiy,72,RU,1587415971,97,40.14,62.93,30,2.89
262,Laguna,75,US,1587415971,55,-121.42,38.42,66.99,6.93
263,Panama City,40,PA,1587415948,49,-79.52,8.99,93.2,11.41
264,Havelock,90,US,1587415974,82,-76.9,34.88,59,18.34
265,Norman Wells,90,CA,1587415977,96,-126.83,65.28,32,6.93
266,Bambous Virieux,40,MU,1587415978,89,57.76,-20.34,73,4
267,sentyabrskiy,,,,,,,,
268,Grindavik,100,IS,1587415978,90,-22.43,63.84,46.87,27.74
269,Nanortalik,76,GL,1587415979,88,-45.24,60.14,31.87,6.91
270,Apam,0,GH,1587415979,79,-0.74,5.28,82.81,12.24
271,Atar,0,MR,1587415979,16,-13.05,20.52,76.66,10.38
272,Hay River,90,CA,1587415979,59,-115.8,60.82,33.8,10.29
273,Seka,5,TH,1587415903,51,103.96,17.93,83.32,2.82
274,Kruibeke,0,BE,1587415981,51,4.31,51.17,59,14.99
275,Margate,2,GB,1587415956,77,1.39,51.38,54,29.06
276,Matucana,57,PE,1587415981,27,-76.4,-11.85,64.44,3.8
277,Zhuanghe,0,CN,1587415982,39,122.99,39.7,39,3
278,Kroya,100,ID,1587415982,83,109.25,-7.63,80.69,1.99
279,Leningradskiy,2,RU,1587415982,90,178.42,69.38,9.36,6.6
280,Jadu,0,LY,1587415982,33,12.03,31.95,68.95,10.47
281,Esperance,9,AU,1587415983,82,121.9,-33.87,55.4,10.29
282,Aswān,6,EG,1587415983,23,32.91,24.09,76.98,8.3
283,Qaqortoq,54,GL,1587415986,40,-46.03,60.72,35.6,4.7
284,Ixtapa,5,MX,1587415935,69,-105.2,20.7,78.8,10.29
285,Hare Bay,40,CA,1587415987,97,-54.01,48.85,41,14.99
286,Kristinestad,31,FI,1587415987,89,21.38,62.27,40.87,6.46
287,Zaoyang,54,CN,1587415987,78,112.75,32.13,48.31,3.09
288,Paramonga,28,PE,1587415987,68,-77.83,-10.67,74.25,11.01
289,Regeneração,38,BR,1587415990,80,-42.69,-6.24,79.25,2.17
290,Kangaatsiaq,43,GL,1587415990,90,-53.46,68.31,31.28,10.2
291,Honningsvåg,20,NO,1587415990,69,25.97,70.98,39.2,24.16
292,Pacific Grove,90,US,1587415942,67,-121.92,36.62,60.8,9.17
293,Esik,20,KZ,1587415992,66,77.45,43.36,51.8,2.24
294,Chabahar,14,IR,1587415992,55,60.64,25.29,83.19,10.94
295,Castrillón,100,ES,1587415992,87,-6.79,43.4,55.4,2.24
296,Isangel,100,VU,1587415992,82,169.27,-19.55,80.37,6.4
297,Pangnirtung,90,CA,1587415993,92,-65.71,66.15,12.2,4.36
298,Stornoway,0,GB,1587415993,62,-6.39,58.21,51.8,13.87
299,meyungs,,,,,,,,
300,Oranjemund,15,NA,1587415993,86,16.43,-28.55,60.06,6.78
301,Paamiut,37,GL,1587415993,89,-49.67,61.99,28.85,6.15
302,Calvinia,0,ZA,1587415994,52,19.78,-31.47,56.16,3.94
303,Provideniya,75,RU,1587415994,78,-173.3,64.38,17.6,8.95
